"","CaseID","nClients","nMH","nClose","ratio"
"202",34779,7,6,3,0.86
"203",34815,7,2,2,0.29
"204",34842,3,1,2,0.33
"205",34851,7,4,3,0.57
"206",34866,10,6,4,0.6
"207",34868,14,5,2,0.36
"208",34871,5,0,4,0
"209",34889,5,2,2,0.4
"210",34896,6,4,3,0.67
"211",34902,5,2,4,0.4
"212",34933,10,4,3,0.4
"213",34938,3,2,2,0.67
"214",35045,4,2,2,0.5
"215",35070,5,4,2,0.8
"216",35095,5,4,2,0.8
"217",35137,3,1,2,0.33
"218",35211,3,2,3,0.67
"219",35279,14,5,3,0.36
"220",35292,9,4,2,0.44
"221",35343,8,3,4,0.38
"222",35460,7,4,3,0.57
"223",35475,10,7,3,0.7
"224",35485,5,3,3,0.6
"225",35486,3,0,3,0
"226",35495,7,5,4,0.71
"227",36008,5,2,3,0.4
"228",36714,3,1,2,0.33
"229",37967,5,3,4,0.6
"230",38507,3,2,2,0.67
"231",39033,5,1,2,0.2
"232",39138,4,1,2,0.25
"233",39146,4,3,2,0.75
"234",39179,6,3,3,0.5
"235",39962,8,5,2,0.62
"236",40541,7,0,2,0
"237",40747,4,3,1,0.75
"238",41622,9,5,2,0.56
"239",41785,5,3,3,0.6
"240",42009,6,4,1,0.67
"241",42049,8,4,2,0.5
"242",42175,5,3,2,0.6
"243",43069,4,0,3,0
"244",43283,3,0,2,0
"245",47057,5,0,2,0
"246",47089,8,4,2,0.5
"247",47106,5,1,2,0.2
"248",47149,6,3,3,0.5
"249",47157,7,4,4,0.57
"250",47220,9,4,3,0.44
"251",47253,4,3,2,0.75
"252",47271,4,1,3,0.25
"253",47289,5,2,3,0.4
"254",47530,5,3,2,0.6
"255",47536,1,0,2,0
"256",47572,7,4,3,0.57
"257",47573,6,2,4,0.33
"258",47590,8,3,2,0.38
"259",47592,7,1,3,0.14
"260",47653,5,1,3,0.2
"261",47655,11,5,3,0.45
"262",47678,10,2,3,0.2
"263",47740,5,2,2,0.4
"264",47767,10,8,2,0.8
"265",47775,12,4,3,0.33
"266",47804,3,2,2,0.67
"267",47829,4,3,2,0.75
"268",48227,3,2,5,0.67
"269",48241,7,2,2,0.29
"270",48256,5,1,2,0.2
"271",48289,6,3,2,0.5
"272",48296,9,8,2,0.89
"273",48337,4,3,2,0.75
"274",48361,6,4,3,0.67
"275",48366,5,1,2,0.2
"276",48398,5,2,2,0.4
"277",48433,7,4,3,0.57
"278",48475,7,5,3,0.71
"279",48488,6,0,2,0
"280",48526,5,4,3,0.8
"281",48532,6,1,3,0.17
"282",48539,4,2,2,0.5
"283",48555,6,3,3,0.5
"284",48565,3,0,2,0
"285",48613,4,0,2,0
"286",48665,3,0,2,0
"287",48717,9,5,4,0.56
"288",48721,5,4,4,0.8
"289",48753,7,2,2,0.29
"290",48756,6,4,3,0.67
"291",48776,9,0,2,0
"292",48782,3,1,2,0.33
